location,division_rank
Monte Somma,namedPlace
Vesuv,namedPlace
Campania,First Order Division
Italy,Country
Bonn,Second Order Division
Germany,Country
Monte Somma,namedPlace
Vesuv,namedPlace
Italy,Country
Drachenfels near Bonn,namedPlace
Germany,Country
Dürenberg im Habichtswald,namedPlace
Kassel,Second Order Division
Germany,Country
Laacher See,namedPlace
Eifel,namedPlace
Rheinland,namedPlace
Germany,Country
Mariposa County,namedPlace
California,First Order Division
USA,Second Order Division
Guanajuato,First Order Division
Mexico,Country
Zillertal,namedPlace
Tirol,First Order Division
Austria,Country
Mangalou,namedPlace
Ostindien,namedPlace
Sri Lanka,Country
Tirol (Italy od. Austria),First Order Division
Pfitsch,namedPlace
Tirol,First Order Division
Austria,Country
Predo,namedPlace
Italy,Country
Monte Amiata,namedPlace
Grosseto,First Order Division
Italy,Country
Fischbach,namedPlace
Silesia,namedPlace
Poland,Country
Striegau,namedPlace
Silesia,namedPlace
Poland,Country
Oisans,namedPlace
Dauphiné,namedPlace
France,Country
Sobotin near Sunderk,namedPlace
Czechoslovakia,namedPlace
Rauris,namedPlace
Salzburg,First Order Division
Austria,Country
Cava Tremenico,namedPlace
Italy,Country
Baveno,namedPlace
Verbano-Cusio-Ossola,First Order Division
Italy,Country
Schmirn,namedPlace
Tirol,First Order Division
Austria,Country
Pfitschtal,namedPlace
Tirol,First Order Division
Austria,Country
Warnas,namedPlace
Norway,Country
Ytterby,namedPlace
Sweden,Country
Stockholm,Second Order Division
Sweden,Country
Canada,Country
Passau,Second Order Division
Bavaria,namedPlace
Germany,Country
Murschinsk,namedPlace
Ural,namedPlace
USSR,namedPlace
Bodenmais,namedPlace
Bavaria,namedPlace
Germany,Country
Agat Mts.,namedPlace
Esterel,namedPlace
France,Country
Ojamo Lojo,namedPlace
Finland,Country
Island Frederiksvärn,namedPlace
Norway,Country
Greenland,Country
Monte Monzoni,namedPlace
Fassatal,namedPlace
Tirol,First Order Division
Italy,Country
Pesmeda,namedPlace
Fassa,namedPlace
Tirol,First Order Division
Italy,Country
Monzoniberg,namedPlace
Fassatal,namedPlace
Tirol,First Order Division
Italy,Country
Vesuv,namedPlace
Italy,Country
Miake Shima,namedPlace
Japan,Country
Parola,namedPlace
Lojo,namedPlace
Finland,Country
Sweden,Country
Martillo,namedPlace
Lojo,namedPlace
Finland,Country
Orrijärvi,namedPlace
Finland,Country
Warlietz,namedPlace
Fichtelgebirge,namedPlace
Bavaria,namedPlace
Germany,Country
Wiesental,namedPlace
Erzgebirge,namedPlace
Czechoslovakia,namedPlace
Sommaval,namedPlace
Atrio del Cavallo,namedPlace
Italy,Country
Cognioli di Trocchia,namedPlace
Monte Somma,namedPlace
Vesuv,namedPlace
Italy,Country
Lava des Monte Somma,namedPlace
Vesuv,namedPlace
Italy,Country
Monte Cavo,namedPlace
Rocca di Papa,namedPlace
Italy,Country
Colli Albani near Rom,namedPlace
Italy,Country
Miask,namedPlace
Ilmengebirge,namedPlace
Ural,namedPlace
Russia,namedPlace
Capo di Bove,namedPlace
Via Appia,namedPlace
Rom,namedPlace
Italy,Country
Katzenwinkel,namedPlace
Baden,Second Order Division
Germany,Country
Meiches im Vogelsgebirge,namedPlace
Hesse,namedPlace
Germany,Country
Ilmengebirge,namedPlace
Ural,namedPlace
Russia,namedPlace
Lichfield,namedPlace
Maine,First Order Division
USA,Second Order Division
Cava Inglese,namedPlace
Vesuv,namedPlace
Italy (Lava 1631),Country
Cava Inglese,namedPlace
Vesuv,namedPlace
Italy,Country
Torre d. Greco,namedPlace
Vesuv,namedPlace
Italy,Country
Salem Harbour,namedPlace
Massachusetts,First Order Division
USA,Second Order Division
Campolungo,namedPlace
Prato (Leventina),First Order Division
Ticino,First Order Division
Switzerland,Country
Pizzo Forno,namedPlace
Chironico,namedPlace
Ticino,First Order Division
Switzerland,Country
Val Canaria,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Lodrino,namedPlace
Ticino,First Order Division
Switzerland,Country
Nufenen,namedPlace
Valais,First Order Division
Switzerland,Country
Dazio Grande,namedPlace
Prato (Leventina),First Order Division
Ticino,First Order Division
Switzerland,Country
Simplon-Eisenbahntunnel II,namedPlace
Valais,First Order Division
Switzerland,Country
Simplon-Eisenbahntunnel I,namedPlace
Valais,First Order Division
Switzerland,Country
Simplon-Eisenbahntunnel II,namedPlace
Trasquera,namedPlace
Verbano-Cusio-Ossola,First Order Division
Italy,Country
N'Chwaning II Mine,namedPlace
Kalahari,Second Order Division
Nördliche Cape-Provinz,namedPlace
South Africa,Country
Erl,namedPlace
Furggbach,namedPlace
Mund,namedPlace
Valais,First Order Division
Switzerland,Country
Ambatovita,namedPlace
Nandrosonoro,namedPlace
Fianarantsoa Province,namedPlace
Madagascar,Country
Reutlingen,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Mine Gottesehre,namedPlace
Urberg,namedPlace
St. Blasien,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Montesclaros,namedPlace
Itacambira,Second Order Division
Minas Gerais,First Order Division
Brazil,Country
Taffs Well Quarry,namedPlace
Tongwynlais,namedPlace
Cardiff,First Order Division
Wales,First Order Division
Mine Fianel,namedPlace
Ausserferrera,namedPlace
Grisons,namedPlace
Switzerland,Country
Hiuan,namedPlace
Huangchang,namedPlace
China,Country
Roure,namedPlace
Puy-de-Dôme,First Order Division
Auvergne (Massif Central),First Order Division
France,Country
Ramsley Mine,namedPlace
Sticklepath,namedPlace
Okehampton District,namedPlace
Devon,First Order Division
England,First Order Division
Block and Brady One Pit,namedPlace
Red River Floodway,namedPlace
Winnipeg,namedPlace
Manitoba,First Order Division
Ontario,First Order Division
Canada,Country
Hunza-Tal,namedPlace
Pakistan,Country
Goboboseb Mountain,namedPlace
Uis-Distrikt,namedPlace
Erongo,First Order Division
Namibia,Country
Jinkouhe,namedPlace
Sichuan,First Order Division
China,Country
Mibladen,namedPlace
Morocco,Country
Morrison Formation,namedPlace
Grand County,namedPlace
Utah,First Order Division
USA,Second Order Division
Mine de La Creusaz,namedPlace
Les Marécottes,namedPlace
Salvan,namedPlace
Valais,First Order Division
Switzerland,Country
Baccu Locci Mine,namedPlace
Villaputzu,namedPlace
Province Cagliari,namedPlace
Sardinien,namedPlace
Italy,Country
Tierra Amarilla,namedPlace
Copiapo,Second Order Division
Atacama,First Order Division
Chile,Country
Santa Cruz de Herdola,namedPlace
Barcelona,First Order Division
Spain,Country
Pipjigletscher,namedPlace
Oberems,namedPlace
Valais,First Order Division
Switzerland,Country
Mexico,Country
Salzbergwerk Stetten,namedPlace
Haigerloch,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Küttigen,namedPlace
Aargau,First Order Division
Switzerland,Country
Harz,Second Order Division
Germany,Country
Laurion,namedPlace
Greece,Country
Nertschinsk,namedPlace
Ural,namedPlace
Sibirien,namedPlace
USSR,namedPlace
Chessy near Lyon,namedPlace
France,Country
Raibl,namedPlace
Kärnten,First Order Division
Austria,Country
Steiermark,First Order Division
Austria,Country
Eisenerz,namedPlace
Steiermark,First Order Division
Austria,Country
Rheinbreitenbach südl. Bonn,namedPlace
Germany,Country
Alp Scarpiola,namedPlace
Medels im Rheinwald,namedPlace
Grisons,namedPlace
Switzerland,Country
Krunkelbachtal,namedPlace
Menzenschwand,namedPlace
St. Blasien,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Garo,namedPlace
Colorado,First Order Division
USA,Second Order Division
Wölsendorf,namedPlace
Oberpfalz,namedPlace
Germany,Country
Hamburg,First Order Division
Germany,Country
Riechelsdorf,namedPlace
Hesse,namedPlace
Germany,Country
Schneeberg,namedPlace
Hesse,namedPlace
Germany,Country
Bieber,namedPlace
Hesse,namedPlace
Germany,Country
Auerbach,namedPlace
Oberpfalz,namedPlace
Germany,Country
Mount Widdern,namedPlace
Victoria,First Order Division
Australia,Country
Yuma County,namedPlace
Arizona,First Order Division
USA,Second Order Division
Quarry Kleinkembs,namedPlace
Baden,Second Order Division
Germany,Country
Val Giumella,namedPlace
Tirol,First Order Division
Italy,Country
Mainzerbecken,namedPlace
Germany,Country
Hinderi Wase (Hinterwasen,namedPlace
beim Fieschergletscher),namedPlace
Fieschertal,namedPlace
Valais,First Order Division
Switzerland,Country
Nyons near Montélimar,namedPlace
Drôme,First Order Division
France,Country
San Luis Potosi,First Order Division
Mexico,Country
Lynch Station,namedPlace
Virginia,First Order Division
USA,Second Order Division
Lake Katwe (Lake Edward),namedPlace
Uganda,Country
Mina Asturietta,namedPlace
Eugui,namedPlace
Navarra,First Order Division
Spain,Country
Figgerscha,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Rhonegletscher,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Minas Gerais,First Order Division
Brazil,Country
Durango,First Order Division
Mexico,Country
Mapimi,Second Order Division
Durango,First Order Division
Mexico,Country
Gabbs,namedPlace
Nevada,First Order Division
USA,Second Order Division
Crapteig,namedPlace
Thusis,namedPlace
Grisons,namedPlace
Switzerland,Country
Val da Dusch,namedPlace
Paspels,namedPlace
Grisons,namedPlace
Switzerland,Country
Mine Herznach,namedPlace
Herznach,namedPlace
Aargau,First Order Division
Switzerland,Country
Baja Sprie,namedPlace
Romania (Felsöbanya,namedPlace
Hungary),namedPlace
Cruzeiro-Mine,namedPlace
Minas Gerais,First Order Division
Brazil,Country
Tsumeb,Second Order Division
Namibia,Country
Altenberg,namedPlace
Germany,Country
Fichtelgebirge,namedPlace
Bavaria,namedPlace
Germany,Country
Fichtel (-gebirge,namedPlace
Bavaria),namedPlace
Germany,Country
Ochsenkopf,namedPlace
Fichtelgebirge,namedPlace
Bavaria,namedPlace
Germany,Country
Aschaffenburg,Second Order Division
Bavaria,namedPlace
Germany,Country
Epprechtstein,namedPlace
Fichtelgebirge,namedPlace
Bavaria,namedPlace
Germany,Country
Ilmenau,namedPlace
Thuringia,namedPlace
Germany,Country
Königshainer Berge near Görlitz,namedPlace
Silesia,namedPlace
Poland,Country
Fuchsberg near Striegau,namedPlace
Silesia,namedPlace
Poland,Country
Hirschberg,namedPlace
Silesia,namedPlace
Poland,Country
Fischbach,namedPlace
Riesengebirge (Czechoslovakia od. Poland),namedPlace
Stonsdorf near Warnbrunn,namedPlace
Germany,Country
St. Ilario,namedPlace
Island Elba,namedPlace
Italy,Country
San Piero,namedPlace
Campo,namedPlace
Island Elba,namedPlace
Italy,Country
Campo,namedPlace
Island Elba,namedPlace
Italy,Country
Piona Olgiasca,namedPlace
Lago di Como,namedPlace
Italy,Country
Andernach,namedPlace
Rheinland,namedPlace
Germany,Country
Montmartre,namedPlace
Paris,First Order Division
France,Country
Niederösterreich,First Order Division
Austria,Country
Hallstoff (Hallstadt,namedPlace
Austria),namedPlace
Iborra,namedPlace
Spain,Country
Tarragona,First Order Division
Spain,Country
Zaragoza,First Order Division
Spain,Country
Girgenti,namedPlace
Sizilien,namedPlace
Italy,Country
Pisa,First Order Division
Italy,Country
Grosseto,First Order Division
Italy,Country
Bologna,First Order Division
Italy,Country
Oxford,Second Order Division
England,First Order Division
United Kingdom,Country
Felsford,namedPlace
England,First Order Division
United Kingdom,Country
Kykladen,namedPlace
Greece,Country
Schemnitz,namedPlace
Hungary,Country
Hungary,Country
Slovakia,Country
Czechoslovakia,namedPlace
Barbados,Country
Kleine Antillen,namedPlace
Victoria,First Order Division
Australia,Country
Poland,Country
Ohio,First Order Division
USA,Second Order Division
Ohio,First Order Division
USA,Second Order Division
Niagarafälle,namedPlace
USA,Second Order Division
Banca,namedPlace
Japan,Country
Lehmwüste,namedPlace
Teheran,namedPlace
Iran,namedPlace
Rio Grande,Second Order Division
Nord-Brasilien,namedPlace
Kabylien,namedPlace
Algeria,Country
Nordafrika,namedPlace
Süd-Algerien,namedPlace
Vralinka,namedPlace
Hungary,Country
Wadi el Natron,namedPlace
Egypt,Country
Sizilien,namedPlace
Italy,Country
Stassfurt,namedPlace
Magdeburg,Second Order Division
Germany,Country
Dienze,namedPlace
Lothringen,namedPlace
France,Country
Ischl,namedPlace
Austria,Country
Kalusz,namedPlace
Galizien,namedPlace
Poland,Country
Idria,namedPlace
Krain,namedPlace
Slovenien,namedPlace
Yugoslavia,namedPlace
Huancavelica,First Order Division
Lima,First Order Division
Peru,Country
Pignone near Spezia,namedPlace
Italy,Country
Stahlberg (France od. Germany),namedPlace
Solfatara,namedPlace
Pozzuoli,namedPlace
Napoli,First Order Division
Italy,Country
Waygang,namedPlace
Java,Second Order Division
Newhaven,namedPlace
England,First Order Division
United Kingdom,Country
aus dem Garten des Pädagogiums,namedPlace
Halle,namedPlace
Thuringia,namedPlace
Germany,Country
Boiséjour near Rogat,namedPlace
Puy de Dôme,namedPlace
Auvergne,First Order Division
France,Country
Rudain,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Friesdorf near Bonn,namedPlace
Germany,Country
Puy-de-Sancy,namedPlace
Auvergne,First Order Division
France,Country
Beregsacz,namedPlace
Hungary,Country
Derber,namedPlace
Hungary,Country
Misay,namedPlace
Hungary,Country
Spania Dolina (Herrengrund),namedPlace
Banska Bystrica,Second Order Division
Slovakia,Country
Bolivia,Second Order Division
Hodrisch,namedPlace
Hungary,Country
Chile,Country
Solfatara,namedPlace
Italy,Country
Hallstadt,namedPlace
Austria,Country
Remolinos Vellinor,namedPlace
Chile,Country
Northern Lights Mine,namedPlace
Virgin Valley District,namedPlace
Nevada,First Order Division
USA,Second Order Division
Leadhills,namedPlace
Scotland,First Order Division
United Kingdom,Country
Red Gill,namedPlace
Cumberland,Second Order Division
United Kingdom,Country
England,First Order Division
United Kingdom,Country
San Bernardino,Second Order Division
California,First Order Division
USA,Second Order Division
Herrengrund,namedPlace
Hungary,Country
Sibirien,namedPlace
USSR,namedPlace
Metcalfe Mine,namedPlace
Clifton,namedPlace
Greenlec County,namedPlace
Arizona,First Order Division
USA,Second Order Division
Beaujolais,namedPlace
France,Country
Wüste Atacama,namedPlace
Chile,Country
Garonne,namedPlace
France,Country
Jekaterinburg,namedPlace
Ural,namedPlace
USSR,namedPlace
Estepona,namedPlace
Málaga,First Order Division
Spain,Country
Erzgebirge (Germany od. Czechoslovakia),namedPlace
Piemonte,First Order Division
Italy,Country
Traversella,namedPlace
Piemont,namedPlace
Italy,Country
Traversella,namedPlace
Piemonte,First Order Division
Italy,Country
Gera,Second Order Division
Thuringia,namedPlace
Germany,Country
Arizona,First Order Division
USA,Second Order Division
Idaho,First Order Division
USA,Second Order Division
Riesengrund,namedPlace
Germany,Country
Lillschacht,namedPlace
Przibram,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Hammersbach,namedPlace
Germany,Country
Villouch,namedPlace
Kärnten,First Order Division
Austria,Country
Bleiberg,namedPlace
Kärnten,First Order Division
Austria,Country
Tombstone,namedPlace
Arizona,First Order Division
USA,Second Order Division
San Francisco,Second Order Division
California,First Order Division
USA,Second Order Division
Utah,First Order Division
USA,Second Order Division
New Mexico,First Order Division
USA,Second Order Division
Sierra Almagrera,namedPlace
Portugal,Country
Denver,Second Order Division
Colorado,First Order Division
USA,Second Order Division
Queensland,First Order Division
Australia,Country
Portugal,Country
Altenberg,namedPlace
Saxony,namedPlace
Germany,Country
St. Léonard,namedPlace
France,Country
Schneeberg,namedPlace
Raade,namedPlace
Norway,Country
Fairfield,Second Order Division
Utah,First Order Division
USA,Second Order Division
Franklin,Second Order Division
New Jersey,First Order Division
USA,Second Order Division
Thomas Range,namedPlace
Juab County,namedPlace
Utah,First Order Division
USA,Second Order Division
Dolny Bory,namedPlace
Czechoslovakia,namedPlace
Muttenhörner,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Chriegalp,namedPlace
Grengiols,namedPlace
Valais,First Order Division
Switzerland,Country
Lochberg-Gletschhorn,namedPlace
Göschenen,namedPlace
Uri,First Order Division
Switzerland,Country
Waldheim,namedPlace
Saxony,namedPlace
Germany,Country
Carrache,namedPlace
France,Country
Texas,First Order Division
USA,Second Order Division
Pennsylvania,First Order Division
USA,Second Order Division
Easton,namedPlace
USA,Second Order Division
Orbeilla,namedPlace
Piemonte,First Order Division
Italy,Country
Oedenberg,namedPlace
Sterzing,namedPlace
Trentino-Alto Adige,First Order Division
Italy,Country
Taberg,namedPlace
Sweden,Country
Pregarten,namedPlace
Tirol,First Order Division
Austria,Country
Sterzing,namedPlace
Trentino-Alto Adige,First Order Division
Italy,Country
Schneeberg,namedPlace
Sterzing,namedPlace
Trentino-Alto Adige,First Order Division
Italy,Country
Hautes Pyrénées,namedPlace
France,Country
Carrade,namedPlace
Dépt. Var,namedPlace
France,Country
Corse (Korsika),First Order Division
France,Country
Dillenburg,namedPlace
Nassau,Second Order Division
Germany,Country
Schneeberg,namedPlace
Saxony,namedPlace
Germany,Country
Zöblitz,namedPlace
Saxony,namedPlace
Germany,Country
Reichenstein,namedPlace
Silesia,namedPlace
Poland,Country
Chemnitz,Second Order Division
Saxony,namedPlace
Germany,Country
Kikombo,namedPlace
Tanganjika,namedPlace
Tanzania,namedPlace
Rei-Kunatsu-Seki,namedPlace
Japan,Country
Black Lake,namedPlace
Canada,Country
Breatford,namedPlace
Canada,Country
Thetford,namedPlace
Quebec,First Order Division
Canada,Country
Texas,First Order Division
Pennsylvania,First Order Division
USA,Second Order Division
Sibirien,namedPlace
Russia,namedPlace
Snarum,namedPlace
Norway,Country
Saxony,namedPlace
Germany,Country
Kals,namedPlace
Kogel,namedPlace
Tirol,First Order Division
Austria,Country
Vénasque,namedPlace
Pyrénées,Second Order Division
France,Country
Venice,namedPlace
Louisiana,First Order Division
USA,Second Order Division
Ersby,namedPlace
Finland,Country
Finland,Country
Ural,namedPlace
Russia,namedPlace
Greiner,namedPlace
Zillertal,namedPlace
Tirol,First Order Division
Austria,Country
Vorau,namedPlace
Steiermark,First Order Division
Austria,Country
Val Malenco,namedPlace
Italy,Country
Göpfersgrün near Wunsiedel,namedPlace
Fichtelgebirge,namedPlace
Bavaria,namedPlace
Germany,Country
Dauphiné,namedPlace
France,Country
Kosemütz,namedPlace
Silesia,namedPlace
Poland,Country
Neu-Kaledonien,namedPlace
Numea,namedPlace
Neu-Kaledonien,namedPlace
Predazzo,namedPlace
Fassatal,namedPlace
Südtirol,namedPlace
Italy,Country
Frankenstein,namedPlace
Silesia,namedPlace
Poland,Country
Island Milos,namedPlace
Kykladen,namedPlace
Greece,Country
Anatolien,namedPlace
Turkey,Country
Dalarne,namedPlace
Sweden,Country
Sterling Hill,namedPlace
New Jersey,First Order Division
USA,Second Order Division
Friedensville,namedPlace
Pennsylvania,First Order Division
USA,Second Order Division
Ruby Hill,namedPlace
Nevada,First Order Division
USA,Second Order Division
Szaszka,namedPlace
Banat,namedPlace
Romania,Country
Santander,First Order Division
Spain,Country
Oberschlesien,namedPlace
Poland,Country
Tarnowitz,namedPlace
Silesia,namedPlace
Poland,Country
Agruyan,namedPlace
Sardinien,namedPlace
Italy,Country
Altenberg near Aachen,namedPlace
Germany,Country
Berg Altin Tube,namedPlace
Kirgisensteppe,namedPlace
USSR,namedPlace
Kirgisensteppe,namedPlace
Sibirien,namedPlace
Russia,namedPlace
Afrika,namedPlace
Zaire (Congo),First Order Division
Schwarzenberg,namedPlace
Saxony,namedPlace
Germany,Country
Ostsibirien,namedPlace
Russia,namedPlace
Katanga,First Order Division
Zaire (Congo),First Order Division
Copiapo,Second Order Division
Atacama,First Order Division
Chile,Country
California,First Order Division
USA,Second Order Division
Australia,Country
Jernbach,namedPlace
Tirol,First Order Division
Austria,Country
Spain,Country
Freye,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Lisens,namedPlace
Tirol,First Order Division
Austria,Country
Gefrees,namedPlace
Fichtelgebirge,namedPlace
Bavaria,namedPlace
Germany,Country
Bavaria,namedPlace
Germany,Country
Rossburg,namedPlace
Saxony,namedPlace
Germany,Country
Archamp,namedPlace
Haute Savoie,namedPlace
France,Country
Allier,First Order Division
France,Country
Massachusetts,First Order Division
USA,Second Order Division
Brazil,Country
West-Böhmen,namedPlace
Czechoslovakia,namedPlace
Val de Lys,namedPlace
Haute Garonne,namedPlace
France,Country
Col de Peyresourde,namedPlace
Haute Garonne,namedPlace
France,Country
Route du Lac d'Oc,namedPlace
France,Country
Forges de Valles,namedPlace
France,Country
Haute Garonne,namedPlace
France,Country
Ste. Brigitte,namedPlace
Bretagne,First Order Division
France,Country
Bretagne,First Order Division
France,Country
Tanganjika,namedPlace
Tanzania,namedPlace
Goldkoppe,namedPlace
Tirol,First Order Division
Austria,Country
Tayana,namedPlace
Ural,namedPlace
Russia,namedPlace
Schlägeisental,namedPlace
Val di Vicce,namedPlace
Italy,Country
Val di Vicce,namedPlace
Italy,Country
Schaffenburg (Aschaffenburg,namedPlace
Bavaria,namedPlace
Germany),namedPlace
Becov,namedPlace
Westböhmen,namedPlace
Czechoslovakia,namedPlace
Moravia,Second Order Division
Czechoslovakia,namedPlace
St. Gotthard,namedPlace
Ticino,First Order Division
Switzerland,Country
Rukuba Tin Mine,namedPlace
Nigeria,Country
Mont Garnel,namedPlace
Queensland,First Order Division
Australia,Country
Finbo,namedPlace
Montbelleux near Luitré,namedPlace
France,Country
Belchen-Strassentunnel,namedPlace
Langenbruck,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Erajuvari,namedPlace
Finland,Country
Schneckenstein near Auerbach,namedPlace
Vogtland,namedPlace
Saxony,namedPlace
Germany,Country
Schneckenstein,namedPlace
Saxony,namedPlace
Germany,Country
Connecticut,First Order Division
USA,Second Order Division
Plateau Province,namedPlace
Nigeria,Country
Nertschinsk,namedPlace
Ural,namedPlace
Sibirien,namedPlace
Russia,namedPlace
Odontschelon,namedPlace
Sibirien,namedPlace
Russia,namedPlace
Fluss Sanarka,namedPlace
südl. Ural,namedPlace
Russia,namedPlace
Murschinsk,namedPlace
Ural,namedPlace
Russia,namedPlace
Alabaschka,namedPlace
Ural,namedPlace
Russia,namedPlace
Winthrop,namedPlace
Maine,First Order Division
USA,Second Order Division
Georgia,Country
USA,Second Order Division
Szolisva,namedPlace
Offenbanya,namedPlace
Transylvania,Second Order Division
Romania,Country
Kemie,namedPlace
Finland,Country
Tremousse,namedPlace
Vallée de Héas,namedPlace
Hautes Pyrénées,namedPlace
France,Country
Scaor,namedPlace
Morbihan,First Order Division
France,Country
Zuni Mine,namedPlace
Silverton,namedPlace
Colorado,First Order Division
USA,Second Order Division
Silverton,namedPlace
Colorado,First Order Division
USA,Second Order Division
Topas Mountain,namedPlace
Utah,First Order Division
USA,Second Order Division
China,Country
Oltrez,namedPlace
Belgium,Country
Eräjärvi near Tampere,namedPlace
Finland,Country
Beresowsk,namedPlace
Ural,namedPlace
Sibirien,namedPlace
Russia,namedPlace
Aaue,namedPlace
Schneeberg,namedPlace
Freiberg,namedPlace
Saxony,namedPlace
Germany,Country
Rochlitz,namedPlace
Saxony,namedPlace
Germany,Country
Teichelberg,namedPlace
Bavaria,namedPlace
Germany,Country
Creuzot,namedPlace
Saône,namedPlace
Loire,First Order Division
France,Country
Autun,namedPlace
France,Country
Tollingerberg,namedPlace
Styria,namedPlace
Bergmersreuth,namedPlace
Bavaria,namedPlace
Germany,Country
Arzberg near Bayreuth,namedPlace
Bavaria,namedPlace
Germany,Country
Kassel,Second Order Division
Germany,Country
Saint-Sévère,namedPlace
Dépt. Landes,namedPlace
France,Country
Santa Fiora,namedPlace
Toscana,First Order Division
Italy,Country
Magdalena,First Order Division
New Mexico,First Order Division
USA,Second Order Division
St. Creu de Ollorde,namedPlace
Barcelona,First Order Division
Spain,Country
Weissenfels,namedPlace
Saxony,namedPlace
Germany,Country
Helgoland,namedPlace
Germany,Country
Bytom (Beuthen,namedPlace
Silesia),namedPlace
Poland,Country
Moldawa,namedPlace
Banat,namedPlace
Romania,Country
Galeria inf. Geg. St. Archangel,namedPlace
Ochansk,namedPlace
Perm,First Order Division
USSR,namedPlace
Bei Freiburg i. Br.,namedPlace
Germany,Country
Ullersreuth,namedPlace
Germany,Country
Chastelets,namedPlace
Silvaplana,namedPlace
Grisons,namedPlace
Switzerland,Country
Lancashire,First Order Division
United Kingdom,Country
Dalton,namedPlace
Lancashire,First Order Division
United Kingdom,Country
Cumberland,Second Order Division
United Kingdom,Country
Derbyshire,First Order Division
United Kingdom,Country
Alston-Moor,namedPlace
Cumberland,Second Order Division
United Kingdom,Country
Gillfoot-Mine,namedPlace
Earmont,namedPlace
Cumberland,Second Order Division
United Kingdom,Country
Egremont,namedPlace
